grid,sample,target,revA,revB,A_class,B_class,class_pair,stable_class,change_class,pixels,area_ha
13163,30,2022,peter,robert,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,226,2.26
13163,30,2022,peter,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,208,2.08
13163,30,2022,peter,robert,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,44,0.44
13163,30,2022,peter,robert,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,33,0.33
13163,30,2022,peter,robert,Harvest,Urban,Harvest->Urban,Urban,Harvest,16,0.16
13163,30,2022,peter,robert,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,6,0.06
13163,30,2022,peter,robert,Beaver,Forest,Beaver->Forest,Forest,Beaver,4,0.04
13163,30,2022,peter,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,2,0.02
13163,30,2022,peter,robert,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,2,0.02
13163,30,2022,peter,robert,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,1,0.01
13163,30,2022,peter,robert,Urban,Harvest,Urban->Harvest,Urban,Harvest,1,0.01
13691,43,2020,bekka,mina,Beaver,Forest,Beaver->Forest,Forest,Beaver,428,4.28
13691,43,2020,bekka,mina,Beaver,Grass/Shrub,Beaver->Grass/Shrub,Grass/Shrub,Beaver,284,2.84
13691,43,2020,bekka,mina,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,187,1.87
13691,43,2020,bekka,mina,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,119,1.19
13691,43,2020,bekka,mina,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,66,0.66
13691,43,2020,bekka,mina,Beaver,Water,Beaver->Water,Water,Beaver,12,0.12
13691,43,2020,bekka,mina,Forest,Beaver,Forest->Beaver,Forest,Beaver,9,0.09
13691,43,2020,bekka,mina,Insect/Disease,Water,Insect/Disease->Water,Water,Insect/Disease,2,0.02
13691,43,2020,bekka,mina,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,2,0.02
13691,43,2020,bekka,mina,Wetland,Beaver,Wetland->Beaver,Wetland,Beaver,2,0.02
13843,88,2020,mina,peter,Other,Harvest,Other->Harvest,Other,Harvest,182,1.82
13843,88,2020,mina,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,145,1.45
13843,88,2020,mina,peter,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,105,1.05
13843,88,2020,mina,peter,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,34,0.34
13843,88,2020,mina,peter,Other,Development,Other->Development,Other,Development,20,0.2
13843,88,2020,mina,peter,Forest,Harvest,Forest->Harvest,Forest,Harvest,8,0.08
13870,150,2022,bekka,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,912,9.12
13870,150,2022,bekka,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,877,8.77
13870,150,2022,bekka,robert,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,787,7.87
13870,150,2022,bekka,robert,Harvest,Urban,Harvest->Urban,Urban,Harvest,251,2.51
13870,150,2022,bekka,robert,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,19,0.19
13870,150,2022,bekka,robert,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,15,0.15
13870,150,2022,bekka,robert,Development,Urban,Development->Urban,Urban,Development,3,0.03
14542,71,2018,bekka,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,247,2.47
14542,71,2018,bekka,mina,Development,Urban,Development->Urban,Urban,Development,121,1.21
14542,71,2018,bekka,mina,Forest,Harvest,Forest->Harvest,Forest,Harvest,61,0.61
14542,71,2018,bekka,mina,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,19,0.19
14542,71,2018,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,18,0.18
14542,71,2018,bekka,mina,Agriculture,Development,Agriculture->Development,Agriculture,Development,12,0.12
14542,71,2018,bekka,mina,Wetland,Development,Wetland->Development,Wetland,Development,6,0.06
14542,71,2018,bekka,mina,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,3,0.03
14542,71,2018,bekka,mina,Development,Agriculture,Development->Agriculture,Agriculture,Development,2,0.02
14542,71,2018,bekka,mina,Urban,Development,Urban->Development,Urban,Development,1,0.01
14873,89,2021,bekka,robert,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,1731,17.31
14873,89,2021,bekka,robert,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,232,2.32
14873,89,2021,bekka,robert,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,127,1.27
14873,89,2021,bekka,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,60,0.6
14873,89,2021,bekka,robert,Urban,Harvest,Urban->Harvest,Urban,Harvest,21,0.21
14873,89,2021,bekka,robert,Insect/Disease,Agriculture,Insect/Disease->Agriculture,Agriculture,Insect/Disease,10,0.1
14873,89,2021,bekka,robert,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,7,0.07
14873,89,2021,bekka,robert,Agriculture,Development,Agriculture->Development,Agriculture,Development,4,0.04
15713,270,2022,bekka,robert,Beaver,Wetland,Beaver->Wetland,Wetland,Beaver,11,0.11
15713,270,2022,bekka,robert,Beaver,Forest,Beaver->Forest,Forest,Beaver,1,0.01
17111,13,2020,mina,robert,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,223,2.23
17111,13,2020,mina,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,76,0.76
17111,13,2020,mina,robert,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,46,0.46
17111,13,2020,mina,robert,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,5,0.05
17111,13,2020,mina,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,3,0.03
17331,209,2021,ash,bekka,Forest,Harvest,Forest->Harvest,Forest,Harvest,24,0.24
17331,209,2021,ash,bekka,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,23,0.23
17331,209,2021,ash,bekka,Urban,Development,Urban->Development,Urban,Development,6,0.06
17331,209,2021,ash,bekka,Urban,Harvest,Urban->Harvest,Urban,Harvest,4,0.04
19683,298,2020,bekka,mina,Wetland,Insect/Disease,Wetland->Insect/Disease,Wetland,Insect/Disease,47,0.47
19683,298,2020,bekka,mina,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,34,0.34
19683,298,2020,bekka,mina,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,15,0.15
19683,298,2020,bekka,mina,Grass/Shrub,Insect/Disease,Grass/Shrub->Insect/Disease,Grass/Shrub,Insect/Disease,11,0.11
19683,298,2020,bekka,mina,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,10,0.1
20941,281,2018,bekka,mina,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,11727,117.27
20941,281,2018,bekka,mina,Harvest,Forest,Harvest->Forest,Forest,Harvest,1421,14.21
20941,281,2018,bekka,mina,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,166,1.66
20941,281,2018,bekka,mina,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,94,0.94
20941,281,2018,bekka,mina,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,48,0.48
20941,281,2018,bekka,mina,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,45,0.45
20941,281,2018,bekka,mina,Insect/Disease,Urban,Insect/Disease->Urban,Urban,Insect/Disease,26,0.26
20941,281,2018,bekka,mina,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,7,0.07
20941,281,2018,bekka,mina,Forest,Harvest,Forest->Harvest,Forest,Harvest,1,0.01
21050,117,2019,bekka,robert,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,7026,70.26
21050,117,2019,bekka,robert,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,564,5.64
21050,117,2019,bekka,robert,Water,Insect/Disease,Water->Insect/Disease,Water,Insect/Disease,270,2.7
21050,117,2019,bekka,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,75,0.75
21050,117,2019,bekka,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,64,0.64
21050,117,2019,bekka,robert,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,60,0.6
21050,117,2019,bekka,robert,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,59,0.59
21050,117,2019,bekka,robert,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,39,0.39
21050,117,2019,bekka,robert,Harvest,Urban,Harvest->Urban,Urban,Harvest,37,0.37
21050,117,2019,bekka,robert,Harvest,Other,Harvest->Other,Other,Harvest,36,0.36
21050,117,2019,bekka,robert,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,14,0.14
21050,117,2019,bekka,robert,Insect/Disease,Urban,Insect/Disease->Urban,Urban,Insect/Disease,13,0.13
21050,117,2019,bekka,robert,Insect/Disease,Water,Insect/Disease->Water,Water,Insect/Disease,4,0.04
21050,117,2019,bekka,robert,Harvest,Water,Harvest->Water,Water,Harvest,4,0.04
21050,117,2019,bekka,robert,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,3,0.03
24360,72,2019,bekka,robert,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,948,9.48
24360,72,2019,bekka,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,930,9.3
24360,72,2019,bekka,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,388,3.88
24360,72,2019,bekka,robert,Insect/Disease,Water,Insect/Disease->Water,Water,Insect/Disease,100,1.0
24360,72,2019,bekka,robert,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,85,0.85
24360,72,2019,bekka,robert,Insect/Disease,Agriculture,Insect/Disease->Agriculture,Agriculture,Insect/Disease,22,0.22
24360,72,2019,bekka,robert,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,18,0.18
24360,72,2019,bekka,robert,Harvest,Water,Harvest->Water,Water,Harvest,7,0.07
24360,72,2019,bekka,robert,Urban,Harvest,Urban->Harvest,Urban,Harvest,5,0.05
24360,72,2019,bekka,robert,Water,Harvest,Water->Harvest,Water,Harvest,5,0.05
24360,72,2019,bekka,robert,Beaver,Forest,Beaver->Forest,Forest,Beaver,4,0.04
24360,72,2019,bekka,robert,Insect/Disease,Urban,Insect/Disease->Urban,Urban,Insect/Disease,4,0.04
24360,72,2019,bekka,robert,Beaver,Water,Beaver->Water,Water,Beaver,2,0.02
24360,72,2019,bekka,robert,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,1,0.01
24360,72,2019,bekka,robert,Harvest,Urban,Harvest->Urban,Urban,Harvest,1,0.01
29142,237,2019,bekka,peter,Development,Agriculture,Development->Agriculture,Agriculture,Development,29,0.29
35012,132,2019,ash,bekka,Forest,Beaver,Forest->Beaver,Forest,Beaver,793,7.93
35012,132,2019,ash,bekka,Water,Beaver,Water->Beaver,Water,Beaver,186,1.86
35012,132,2019,ash,bekka,Urban,Beaver,Urban->Beaver,Urban,Beaver,3,0.03
35012,132,2019,ash,bekka,Grass/Shrub,Beaver,Grass/Shrub->Beaver,Grass/Shrub,Beaver,1,0.01
40091,14,2021,ash,bekka,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,547,5.47
40091,14,2021,ash,bekka,Urban,Development,Urban->Development,Urban,Development,18,0.18
40091,14,2021,ash,bekka,Grass/Shrub,Development,Grass/Shrub->Development,Grass/Shrub,Development,1,0.01
40890,297,2019,bekka,robert,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,155,1.55
40890,297,2019,bekka,robert,Development,Agriculture,Development->Agriculture,Agriculture,Development,119,1.19
40890,297,2019,bekka,robert,Insect/Disease,Agriculture,Insect/Disease->Agriculture,Agriculture,Insect/Disease,18,0.18
40890,297,2019,bekka,robert,Development,Water,Development->Water,Water,Development,9,0.09
40890,297,2019,bekka,robert,Insect/Disease,Water,Insect/Disease->Water,Water,Insect/Disease,2,0.02
42180,252,2019,ash,bekka,Agriculture,Harvest,Agriculture->Harvest,Agriculture,Harvest,1863,18.63
42180,252,2019,ash,bekka,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,1669,16.69
42180,252,2019,ash,bekka,Water,Insect/Disease,Water->Insect/Disease,Water,Insect/Disease,1443,14.43
42180,252,2019,ash,bekka,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,583,5.83
42180,252,2019,ash,bekka,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,282,2.82
42180,252,2019,ash,bekka,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,97,0.97
42180,252,2019,ash,bekka,Harvest,Forest,Harvest->Forest,Forest,Harvest,82,0.82
42180,252,2019,ash,bekka,Forest,Harvest,Forest->Harvest,Forest,Harvest,80,0.8
42180,252,2019,ash,bekka,Harvest,Urban,Harvest->Urban,Urban,Harvest,75,0.75
42180,252,2019,ash,bekka,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,73,0.73
42180,252,2019,ash,bekka,Wetland,Insect/Disease,Wetland->Insect/Disease,Wetland,Insect/Disease,64,0.64
42180,252,2019,ash,bekka,Urban,Harvest,Urban->Harvest,Urban,Harvest,32,0.32
42180,252,2019,ash,bekka,Agriculture,Insect/Disease,Agriculture->Insect/Disease,Agriculture,Insect/Disease,21,0.21
43442,12,2019,bekka,peter,Urban,Development,Urban->Development,Urban,Development,786,7.86
43442,12,2019,bekka,peter,Grass/Shrub,Development,Grass/Shrub->Development,Grass/Shrub,Development,5,0.05
43442,12,2019,bekka,peter,Agriculture,Development,Agriculture->Development,Agriculture,Development,5,0.05
45833,222,2019,ash,bekka,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,1330,13.3
45833,222,2019,ash,bekka,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,1273,12.73
45833,222,2019,ash,bekka,Harvest,Forest,Harvest->Forest,Forest,Harvest,1059,10.59
45833,222,2019,ash,bekka,Grass/Shrub,Insect/Disease,Grass/Shrub->Insect/Disease,Grass/Shrub,Insect/Disease,429,4.29
45833,222,2019,ash,bekka,Water,Insect/Disease,Water->Insect/Disease,Water,Insect/Disease,65,0.65
45833,222,2019,ash,bekka,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,20,0.2
45833,222,2019,ash,bekka,Forest,Harvest,Forest->Harvest,Forest,Harvest,11,0.11
46291,179,2021,bekka,peter,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,4301,43.01
46291,179,2021,bekka,peter,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,4214,42.14
46291,179,2021,bekka,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,2021,20.21
46291,179,2021,bekka,peter,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,310,3.1
46291,179,2021,bekka,peter,Insect/Disease,Water,Insect/Disease->Water,Water,Insect/Disease,3,0.03
46291,179,2021,bekka,peter,Harvest,Urban,Harvest->Urban,Urban,Harvest,3,0.03
46291,179,2021,bekka,peter,Grass/Shrub,Harvest,Grass/Shrub->Harvest,Grass/Shrub,Harvest,2,0.02
46291,179,2021,bekka,peter,Forest,Harvest,Forest->Harvest,Forest,Harvest,1,0.01
46571,284,2021,bekka,peter,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,836,8.36
46571,284,2021,bekka,peter,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,120,1.2
46571,284,2021,bekka,peter,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,60,0.6
46571,284,2021,bekka,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,18,0.18
46571,284,2021,bekka,peter,Harvest,Water,Harvest->Water,Water,Harvest,2,0.02
47893,57,2019,bekka,peter,Harvest,Agriculture,Harvest->Agriculture,Agriculture,Harvest,55,0.55
47893,57,2019,bekka,peter,Development,Other,Development->Other,Other,Development,29,0.29
47893,57,2019,bekka,peter,Development,Agriculture,Development->Agriculture,Agriculture,Development,4,0.04
47893,57,2019,bekka,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,2,0.02
47893,57,2019,bekka,peter,Harvest,Urban,Harvest->Urban,Urban,Harvest,1,0.01
48800,162,2019,bekka,peter,Harvest,Forest,Harvest->Forest,Forest,Harvest,3052,30.52
48800,162,2019,bekka,peter,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,391,3.91
48800,162,2019,bekka,peter,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,257,2.57
48800,162,2019,bekka,peter,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,77,0.77
48800,162,2019,bekka,peter,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,68,0.68
48800,162,2019,bekka,peter,Insect/Disease,Water,Insect/Disease->Water,Water,Insect/Disease,48,0.48
48800,162,2019,bekka,peter,Urban,Harvest,Urban->Harvest,Urban,Harvest,15,0.15
48800,162,2019,bekka,peter,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,6,0.06
48800,162,2019,bekka,peter,Forest,Harvest,Forest->Harvest,Forest,Harvest,1,0.01
51183,224,2021,peter,robert,Forest,Insect/Disease,Forest->Insect/Disease,Forest,Insect/Disease,3218,32.18
51183,224,2021,peter,robert,Insect/Disease,Forest,Insect/Disease->Forest,Forest,Insect/Disease,2850,28.5
51183,224,2021,peter,robert,Urban,Insect/Disease,Urban->Insect/Disease,Urban,Insect/Disease,45,0.45
51183,224,2021,peter,robert,Development,Urban,Development->Urban,Urban,Development,43,0.43
51183,224,2021,peter,robert,Grass/Shrub,Insect/Disease,Grass/Shrub->Insect/Disease,Grass/Shrub,Insect/Disease,33,0.33
51183,224,2021,peter,robert,Insect/Disease,Grass/Shrub,Insect/Disease->Grass/Shrub,Grass/Shrub,Insect/Disease,21,0.21
51183,224,2021,peter,robert,Insect/Disease,Urban,Insect/Disease->Urban,Urban,Insect/Disease,15,0.15
51183,224,2021,peter,robert,Grass/Shrub,Development,Grass/Shrub->Development,Grass/Shrub,Development,15,0.15
51183,224,2021,peter,robert,Insect/Disease,Wetland,Insect/Disease->Wetland,Wetland,Insect/Disease,3,0.03
51183,224,2021,peter,robert,Development,Forest,Development->Forest,Forest,Development,1,0.01
51183,224,2021,peter,robert,Development,Grass/Shrub,Development->Grass/Shrub,Grass/Shrub,Development,1,0.01
51183,224,2021,peter,robert,Forest,Development,Forest->Development,Forest,Development,1,0.01
53151,254,2021,bekka,robert,Harvest,Forest,Harvest->Forest,Forest,Harvest,2248,22.48
53151,254,2021,bekka,robert,Forest,Harvest,Forest->Harvest,Forest,Harvest,2086,20.86
53151,254,2021,bekka,robert,Harvest,Wetland,Harvest->Wetland,Wetland,Harvest,336,3.36
53151,254,2021,bekka,robert,Harvest,Grass/Shrub,Harvest->Grass/Shrub,Grass/Shrub,Harvest,62,0.62
53151,254,2021,bekka,robert,Urban,Harvest,Urban->Harvest,Urban,Harvest,33,0.33
53151,254,2021,bekka,robert,Harvest,Urban,Harvest->Urban,Urban,Harvest,23,0.23
53151,254,2021,bekka,robert,Wetland,Harvest,Wetland->Harvest,Wetland,Harvest,1,0.01
